"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"1","Afghanistan",65.603478,59.055479,64.453,61.563,62.966,60.11276091,9.52887835,16231996,17138798,75.413,39.37493209,9809.225,18168.86,9,58.84123233
"2","Albania",91.0539388,83.5724912,80.045,75.734,77.813,313.2628968,6.91679461,1420670,1468434,43.577,97.67685495,5716.853,8898.640911,9,90.98120438
"3","Algeria",85.0043894,81.0218336,77.085,74.713,75.878,357.8985662,6.54721401,19268759,19654928,29.779,87.33273411,145400.217,176471.2268,10,93.26727335
"4","Angola",61.1559604,48.6428906,61.591,56.14,58.776,131.7518748,2.79871941,13618288,13323491,37.269,46.11703098,34763.16,41657.16485,6,53.54150888
"5","Antigua and Barbuda",86.3615944,79.4359286,77.566,75.071,76.349,749.6386484,5.79066573,48060,44502,74.825,87.50428238,531.715,552.7479143,11,96.73918628
"6","Argentina",86.4255164,75.8906124,79.281,72.46,75.913,1086.727284,8.23722377,21883730,20785770,8.623,94.2010483,204024.546,380295.3204,13,99.0002503
"7","Armenia",86.7088912,71.6586354,77.446,70.797,74.273,406.5937491,10.17829917,1544503,1367900,36.888,92.63204075,5529.836,12319.38961,12,99.59326103
"8","Australia",93.061008,88.6703728,84.4,80.3,82.3,5637.559721,9.05467885,11770519,11705167,14.398,99.99115238,361261.839,761686.2739,10,99.96148118
"9","Austria",92.2526476,85.6454,84,79.1,81.4902439,5386.424803,10.37068975,4367372,4178984,42.474,99.97858897,58712.337,90460.21029,10,100.0000028
"10","Azerbaijan",83.1898692,72.001374,74.823,69.199,72.022,440.3280774,5.56193369,4794145,4740934,45.578,90.91843657,37487.741,56537.08178,10,89.35028221
"11","Bahamas",81.3004162,70.397081,75.093,70.528,72.847,1687.735007,5.94798967,190819,179814,17.332,94.58781011,2416.553,4865.206767,12,98.84419617
"12","Bahrain",88.4473678,85.7278838,77.696,75.807,76.624,1100.991473,4.40681854,513534,822541,11.085,100,31338.182,32849.10573,9,100
"13","Bangladesh",77.9177998,72.5645002,72.955,69.759,71.231,28.834133,2.49601074,76150536,78369631,66.465,44.46270297,73189.653,183300.5624,5,96.75671305
"14","Barbados",85.4809572,79.8306324,80.08,77.252,78.717,1177.76114,7.14459683,147656,137169,68.672,95.85529392,1272.449,1540.615709,11,98.46444332
"15","Belarus",86.3626174,62.7317334,78.4,67.8,72.97073171,447.7003537,5.38792165,5066924,4407587,23.307,97.75263762,63497.772,109647.2388,9,96.45478578
"16","Belgium",91.1895084,85.2579868,83.9,78.8,81.28780488,4908.791855,10.34051179,5703536,5505521,2.167,99.48606403,93350.819,133373.684,12,100.0000005
"17","Belize",80.7344288,69.9209092,76.537,71.274,73.782,273.8684396,5.65245816,176919,176447,54.665,86.89304328,495.045,1569.858503,8,96.54229823
"18","Benin",62.3949988,56.5908546,61.799,58.853,60.345,34.40215717,3.64550634,5163934,5122908,54.834,15.67391628,6318.241,33533.09673,6,65.8044993
